"region","Name","output","subsector","technology","year","Difference","Rel_Dif"
"China","Policy","electricity","coal","coal (conv pul CCS)",2045,2.513675,1283.89559976505
"China","Policy","electricity","coal","coal (conv pul CCS)",2050,2.961371,981.987870106012
"China","Policy","electricity","coal","coal (conv pul CCS)",2055,3.164638,689.370498973995
"China","Policy","electricity","coal","coal (conv pul CCS)",2060,3.261104,505.733949933781
"China","Policy","electricity","coal","coal (conv pul CCS)",2065,3.376026,401.3564698022
"China","Policy","electricity","coal","coal (conv pul CCS)",2070,3.30493,316.240060474418
"China","Policy","electricity","coal","coal (conv pul CCS)",2075,3.1993,255.496370359131
"China","Policy","electricity","coal","coal (conv pul CCS)",2080,3.08476,216.870078740157
"China","Policy","electricity","coal","coal (conv pul CCS)",2085,2.92317,184.303872489061
"China","Policy","electricity","coal","coal (conv pul CCS)",2090,2.76819,160.038735040758
"China","Policy","electricity","coal","coal (conv pul CCS)",2095,1.86748,101.567445857309
"China","Policy","electricity","coal","coal (conv pul CCS)",2100,1.12143,58.2975936120772
"China","Policy","electricity","coal","coal (IGCC CCS)",1990,0,NA
"China","Policy","electricity","coal","coal (IGCC CCS)",2005,0,NA
"China","Policy","electricity","coal","coal (IGCC CCS)",2010,0,NA
"China","Policy","electricity","coal","coal (IGCC CCS)",2015,0,NA
"China","Policy","electricity","coal","coal (IGCC CCS)",2020,0,NA
"China","Policy","electricity","coal","coal (IGCC CCS)",2025,-2.72400000000013e-05,-0.296016170046307
"China","Policy","electricity","coal","coal (IGCC CCS)",2030,-4.6899999999999e-05,-0.236339906169525
"China","Policy","electricity","coal","coal (IGCC CCS)",2035,0.7526993,1920.85199447758
"China","Policy","electricity","coal","coal (IGCC CCS)",2040,1.4215454,1783.96503213921
"China","Policy","electricity","coal","coal (IGCC CCS)",2045,2.125383,1291.34318020257
"China","Policy","electricity","coal","coal (IGCC CCS)",2050,2.612904,936.437464609033
"China","Policy","electricity","coal","coal (IGCC CCS)",2055,2.863537,619.473967718976
"China","Policy","electricity","coal","coal (IGCC CCS)",2060,2.999407,433.369550925933
"China","Policy","electricity","coal","coal (IGCC CCS)",2065,3.16812,335.819376722493
"China","Policy","electricity","coal","coal (IGCC CCS)",2070,3.10168,255.783345153469
"China","Policy","electricity","coal","coal (IGCC CCS)",2075,2.98934,200.640311430297
"China","Policy","electricity","coal","coal (IGCC CCS)",2080,2.86437,166.430571856879
"China","Policy","electricity","coal","coal (IGCC CCS)",2085,2.68534,137.131680812166
"China","Policy","electricity","coal","coal (IGCC CCS)",2090,2.51853,116.368030014601
"China","Policy","electricity","coal","coal (IGCC CCS)",2095,1.87075,80.4115247563906
"China","Policy","electricity","coal","coal (IGCC CCS)",2100,1.2201,49.5749902483422
"China","Policy","electricity","coal","coal (conv pul)",1990,0,0
"China","Policy","electricity","coal","coal (conv pul)",2005,0,0
"China","Policy","electricity","coal","coal (conv pul)",2010,0,0
"China","Policy","electricity","coal","coal (conv pul)",2015,0,0
"China","Policy","electricity","coal","coal (conv pul)",2020,0,0
"China","Policy","electricity","coal","coal (conv pul)",2025,0.0103000000000009,0.0572378036243248
"China","Policy","electricity","coal","coal (conv pul)",2030,0.022199999999998,0.117998490469751
"China","Policy","electricity","coal","coal (conv pul)",2035,-4.0786,-21.7809938319404
"China","Policy","electricity","coal","coal (conv pul)",2040,-8.82213,-49.471644787385
"China","Policy","electricity","coal","coal (conv pul)",2045,-12.29772,-75.4994014181785
"China","Policy","electricity","coal","coal (conv pul)",2050,-12.86039,-91.167705209729
"China","Policy","electricity","coal","coal (conv pul)",2055,-11.125075,-95.9405560634023
"China","Policy","electricity","coal","coal (conv pul)",2060,-8.846791,-97.2059469865115
"China","Policy","electricity","coal","coal (conv pul)",2065,-6.450146,-93.8219430739155
"China","Policy","electricity","coal","coal (conv pul)",2070,-4.472823,-90.7879561651176
"China","Policy","electricity","coal","coal (conv pul)",2075,-2.893753,-87.7570311694456
"China","Policy","electricity","coal","coal (conv pul)",2080,-1.611318,-87.4755974419387
"China","Policy","electricity","coal","coal (conv pul)",2085,-0.838301,-89.1675823094621
"China","Policy","electricity","coal","coal (conv pul)",2090,-0.3611118,-92.6431290855542
"China","Policy","electricity","coal","coal (conv pul)",2095,-0.1282098,-92.6732973848178
"China","Policy","electricity","coal","coal (conv pul)",2100,-0.04271203,-89.7500105064089
"China","Policy","electricity","coal","coal (IGCC)",1990,0,NA
"China","Policy","electricity","coal","coal (IGCC)",2005,0,NA
"China","Policy","electricity","coal","coal (IGCC)",2010,0,NA
"China","Policy","electricity","coal","coal (IGCC)",2015,0,NA
"China","Policy","electricity","coal","coal (IGCC)",2020,0,NA
"China","Policy","electricity","coal","coal (IGCC)",2025,0.00115199999999993,0.185741142630483
"China","Policy","electricity","coal","coal (IGCC)",2030,0.00314999999999999,0.255381247719809
"China","Policy","electricity","coal","coal (IGCC)",2035,-0.15985,-9.13987409444632
"China","Policy","electricity","coal","coal (IGCC)",2040,-0.78112,-36.0676175480558
"China","Policy","electricity","coal","coal (IGCC)",2045,-1.634975,-65.1760977457097
"China","Policy","electricity","coal","coal (IGCC)",2050,-2.314835,-86.8583189184524
"China","Policy","electricity","coal","coal (IGCC)",2055,-2.542371,-94.4406637370312
"China","Policy","electricity","coal","coal (IGCC)",2060,-2.4639659,-96.5927797465972
"China","Policy","electricity","coal","coal (IGCC)",2065,-2.107746,-93.3043824701195
"China","Policy","electricity","coal","coal (IGCC)",2070,-1.686144,-91.0287639284789
"China","Policy","electricity","coal","coal (IGCC)",2075,-1.264237,-88.9349503703756
"China","Policy","electricity","coal","coal (IGCC)",2080,-0.953153,-87.8336312869754
"China","Policy","electricity","coal","coal (IGCC)",2085,-0.5731991,-89.1934607957401
"China","Policy","electricity","coal","coal (IGCC)",2090,-0.2865802,-90.5312205816385
"China","Policy","electricity","coal","coal (IGCC)",2095,-0.1184255,-90.3604483476907
"China","Policy","electricity","coal","coal (IGCC)",2100,-0.04418225,-86.944693160686
"China","Policy","electricity","geothermal","geothermal",1990,0,0
"China","Policy","electricity","geothermal","geothermal",2005,0,0
"China","Policy","electricity","geothermal","geothermal",2010,0,0
"China","Policy","electricity","geothermal","geothermal",2015,0,0
"China","Policy","electricity","geothermal","geothermal",2020,0,0
"China","Policy","electricity","geothermal","geothermal",2025,0,0
"China","Policy","electricity","geothermal","geothermal",2030,0,0
"China","Policy","electricity","geothermal","geothermal",2035,-0.000218999999999997,-0.193769299510708
"China","Policy","electricity","geothermal","geothermal",2040,-0.000140000000000001,-0.123893805309736
"China","Policy","electricity","geothermal","geothermal",2045,-0.000106999999999996,-0.0947212804192488
"China","Policy","electricity","geothermal","geothermal",2050,-6.80000000000125e-05,-0.060205229001224
"China","Policy","electricity","geothermal","geothermal",2055,-1.09999999999971e-05,-0.00974253146394566
"China","Policy","electricity","geothermal","geothermal",2060,1.000000000001e-06,0.000885763129224869
"China","Policy","electricity","geothermal","geothermal",2065,-4.59999999999905e-05,-0.0407451039442948
"China","Policy","electricity","geothermal","geothermal",2070,1.99999999999922e-05,0.0177160471955429
"China","Policy","electricity","geothermal","geothermal",2075,2.90000000000012e-05,0.0256889510935532
"China","Policy","electricity","geothermal","geothermal",2080,6.20000000000065e-05,0.0549231518802379
"China","Policy","electricity","geothermal","geothermal",2085,6.89999999999996e-05,0.0611165732203116
"China","Policy","electricity","geothermal","geothermal",2090,7.30000000000036e-05,0.0646538362752337
"China","Policy","electricity","geothermal","geothermal",2095,-9.30000000000097e-05,-0.0823613804830183
"China","Policy","electricity","geothermal","geothermal",2100,-4.09999999999994e-05,-0.0363095343523613
"China","Policy","electricity","nuclear","Gen_III",1990,0,NA
"China","Policy","electricity","nuclear","Gen_III",2005,0,NA
"China","Policy","electricity","nuclear","Gen_III",2010,0,NA
"China","Policy","electricity","nuclear","Gen_III",2015,0,NA
"China","Policy","electricity","nuclear","Gen_III",2020,-1.00000000002876e-06,-0.000284430286145047
"China","Policy","electricity","nuclear","Gen_III",2025,-0.00131700000000001,-0.157841939933773
"China","Policy","electricity","nuclear","Gen_III",2030,-0.00309000000000004,-0.221433946038915
"China","Policy","electricity","nuclear","Gen_III",2035,2.68845,131.799040106677
"China","Policy","electricity","nuclear","Gen_III",2040,4.35042,152.333097560805
"China","Policy","electricity","nuclear","Gen_III",2045,5.89688,147.742231286313
"China","Policy","electricity","nuclear","Gen_III",2050,6.93338,136.049464112617
"China","Policy","electricity","nuclear","Gen_III",2055,7.23992,114.270381863007
"China","Policy","electricity","nuclear","Gen_III",2060,7.32844,97.3651345333184
"China","Policy","electricity","nuclear","Gen_III",2065,7.69359,89.3687977780901
"China","Policy","electricity","nuclear","Gen_III",2070,7.41346,76.896411516009
"China","Policy","electricity","nuclear","Gen_III",2075,7.0661,66.6594341669575
"China","Policy","electricity","nuclear","Gen_III",2080,6.7336,61.1911815488631
"China","Policy","electricity","nuclear","Gen_III",2085,6.2859,55.7507760532151
"China","Policy","electricity","nuclear","Gen_III",2090,5.9054,52.0180399203706
"China","Policy","electricity","nuclear","Gen_III",2095,3.629,32.2781488761796
"China","Policy","electricity","nuclear","Gen_III",2100,2.089,19.1083385167026
"China","Policy","electricity","solar","PV",1990,0,0
"China","Policy","electricity","solar","PV",2005,0,0
"China","Policy","electricity","solar","PV",2010,0,0
"China","Policy","electricity","solar","PV",2015,0,0
"China","Policy","electricity","solar","PV",2020,0,0
"China","Policy","electricity","solar","PV",2025,-0.00122,-0.137955209788035
"China","Policy","electricity","solar","PV",2030,-0.00183,-0.0941815851841558
"China","Policy","electricity","solar","PV",2035,3.13174,95.2520571985602
"China","Policy","electricity","solar","PV",2040,3.83858,82.220606237155
"China","Policy","electricity","solar","PV",2045,3.9642,67.3299109588169
"China","Policy","electricity","solar","PV",2050,3.973936,59.7519577200727
"China","Policy","electricity","solar","PV",2055,3.798534,53.8342893788598
"China","Policy","electricity","solar","PV",2060,3.691488,53.5585464353309
"China","Policy","electricity","solar","PV",2065,1.376614,21.5336542439842
"China","Policy","electricity","solar","PV",2070,0.898018,15.2225920435581
"China","Policy","electricity","solar","PV",2075,0.903722,16.6179406501857
"China","Policy","electricity","solar","PV",2080,0.914516,17.4718511336444
"China","Policy","electricity","solar","PV",2085,0.882791,17.430461562459
"China","Policy","electricity","solar","PV",2090,0.788375,16.1449627716153
"China","Policy","electricity","solar","PV",2095,1.019733,21.7260589646228
"China","Policy","electricity","solar","PV",2100,1.11626,24.8499167521333
"China","Policy","electricity","solar","CSP_storage",1990,0,NA
"China","Policy","electricity","solar","CSP_storage",2005,0,NA
"China","Policy","electricity","solar","CSP_storage",2010,0,NA
"China","Policy","electricity","solar","CSP_storage",2015,0,NA
"China","Policy","electricity","solar","CSP_storage",2020,0,NA
"China","Policy","electricity","solar","CSP_storage",2025,-5.5000000000003e-06,-0.243297163155091
"China","Policy","electricity","solar","CSP_storage",2030,-2.30000000000005e-05,-0.235882194278733
"China","Policy","electricity","solar","CSP_storage",2035,0.1367488,437.88761799854
"China","Policy","electricity","solar","CSP_storage",2040,0.3252589,399.693402689455
"China","Policy","electricity","solar","CSP_storage",2045,0.61798,309.988161881258
"China","Policy","electricity","solar","CSP_storage",2050,0.880623,239.496922738015
"China","Policy","electricity","solar","CSP_storage",2055,1.007855,161.87451314215
"China","Policy","electricity","solar","CSP_storage",2060,1.067088,116.294743082832
"China","Policy","electricity","solar","CSP_storage",2065,1.00575,82.8254961706333
"China","Policy","electricity","solar","CSP_storage",2070,0.69713,46.4465364807153
"China","Policy","electricity","solar","CSP_storage",2075,0.25535,14.820941435951
"China","Policy","electricity","solar","CSP_storage",2080,-0.15653,-8.46758052126496
"China","Policy","electricity","solar","CSP_storage",2085,-0.48701,-25.5337331963173
"China","Policy","electricity","solar","CSP_storage",2090,-0.73017,-38.6276107243371
"China","Policy","electricity","solar","CSP_storage",2095,-0.63488,-34.8226724733707
"China","Policy","electricity","solar","CSP_storage",2100,-0.45037,-26.0109965000635
"China","Policy","electricity","wind","wind",1990,0,0
"China","Policy","electricity","wind","wind",2005,0,0
"China","Policy","electricity","wind","wind",2010,0,0
"China","Policy","electricity","wind","wind",2015,0,0
"China","Policy","electricity","wind","wind",2020,0,0
"China","Policy","electricity","wind","wind",2025,-0.001417,-0.0838113894769094
"China","Policy","electricity","wind","wind",2030,-0.002494,-0.0978560347039716
"China","Policy","electricity","wind","wind",2035,3.375096,94.0420549680378
"China","Policy","electricity","wind","wind",2040,4.973066,102.722513262038
"China","Policy","electricity","wind","wind",2045,6.035756,103.367278994701
"China","Policy","electricity","wind","wind",2050,6.490906,93.1874547856277
"China","Policy","electricity","wind","wind",2055,6.254173,77.1451436970497
"China","Policy","electricity","wind","wind",2060,5.89062,65.1253448018529
"China","Policy","electricity","wind","wind",2065,2.94612,30.441350606839
"China","Policy","electricity","wind","wind",2070,1.02499,10.1699842636562
"China","Policy","electricity","wind","wind",2075,-0.386010000000001,-3.8443879863
"China","Policy","electricity","wind","wind",2080,-1.20307,-12.1397636365104
"China","Policy","electricity","wind","wind",2085,-1.643822,-17.1184382628111
"China","Policy","electricity","wind","wind",2090,-1.913447,-20.8311686897828
"China","Policy","electricity","wind","wind",2095,-0.837737000000001,-9.5470127158724
"China","Policy","electricity","wind","wind",2100,0.0179130000000001,0.212852422083039
"Taiwan","Policy","electricity","biomass","biomass (conv CCS)",1990,0,NA
"Taiwan","Policy","electricity","biomass","biomass (conv CCS)",2005,0,NA
"Taiwan","Policy","electricity","biomass","biomass (conv CCS)",2010,0,NA
"Taiwan","Policy","electricity","biomass","biomass (conv CCS)",2015,0,NA
"Taiwan","Policy","electricity","biomass","biomass (conv CCS)",2020,0,NA
"Taiwan","Policy","electricity","biomass","biomass (conv CCS)",2025,-3.5352e-06,-4.08029002468811
"Taiwan","Policy","electricity","biomass","biomass (conv CCS)",2030,-1.01431e-05,-10.2644566712239
"Taiwan","Policy","electricity","biomass","biomass (conv CCS)",2035,0.00166201,951.241987179487
"Taiwan","Policy","electricity","biomass","biomass (conv CCS)",2040,0.001517062,612.711734343573
"Taiwan","Policy","electricity","biomass","biomass (conv CCS)",2045,0.00171662,648.074599818786
"Taiwan","Policy","electricity","biomass","biomass (conv CCS)",2050,0.004658584,1862.04823611233
"Taiwan","Policy","electricity","biomass","biomass (conv CCS)",2055,0.008923134,3748.96393519763
"Taiwan","Policy","electricity","biomass","biomass (conv CCS)",2060,0.014066056,4948.58501850523
"Taiwan","Policy","electricity","biomass","biomass (conv CCS)",2065,0.004692001,944.922052002924
"Taiwan","Policy","electricity","biomass","biomass (conv CCS)",2070,0.002910439,420.224779126497
"Taiwan","Policy","electricity","biomass","biomass (conv CCS)",2075,0.002507607,276.554068286916
"Taiwan","Policy","electricity","biomass","biomass (conv CCS)",2080,0.00273424,228.115666349635
"Taiwan","Policy","electricity","biomass","biomass (conv CCS)",2085,0.0034034,234.382639955374
"Taiwan","Policy","electricity","biomass","biomass (conv CCS)",2090,0.00440395,208.302391909981
"Taiwan","Policy","electricity","biomass","biomass (conv CCS)",2095,0.00374649,108.328586505515
"Taiwan","Policy","electricity","biomass","biomass (conv CCS)",2100,0.00362869,71.4897297382492
"Taiwan","Policy","electricity","biomass","biomass (IGCC CCS)",1990,0,NA
"Taiwan","Policy","electricity","biomass","biomass (IGCC CCS)",2005,0,NA
"Taiwan","Policy","electricity","biomass","biomass (IGCC CCS)",2010,0,NA
"Taiwan","Policy","electricity","biomass","biomass (IGCC CCS)",2015,0,NA
"Taiwan","Policy","electricity","biomass","biomass (IGCC CCS)",2020,0,NA
"Taiwan","Policy","electricity","biomass","biomass (IGCC CCS)",2025,-1.2198e-06,-1.5324005095439
"Taiwan","Policy","electricity","biomass","biomass (IGCC CCS)",2030,-6.915e-06,-5.47232971676836
"Taiwan","Policy","electricity","biomass","biomass (IGCC CCS)",2035,0.001510076,645.844987896362
"Taiwan","Policy","electricity","biomass","biomass (IGCC CCS)",2040,0.00250543,659.514596330517
"Taiwan","Policy","electricity","biomass","biomass (IGCC CCS)",2045,0.003893707,757.732508470157
"Taiwan","Policy","electricity","biomass","biomass (IGCC CCS)",2050,0.008944594,1478.38175549481
"Taiwan","Policy","electricity","biomass","biomass (IGCC CCS)",2055,0.015215202,2248.44790438275
"Taiwan","Policy","electricity","biomass","biomass (IGCC CCS)",2060,0.022368363,2610.26924966479
"Taiwan","Policy","electricity","biomass","biomass (IGCC CCS)",2065,0.01532381,1060.25849483495
"Taiwan","Policy","electricity","biomass","biomass (IGCC CCS)",2070,0.01162753,531.502923201397
"Taiwan","Policy","electricity","biomass","biomass (IGCC CCS)",2075,0.010584,343.14615484373
"Taiwan","Policy","electricity","biomass","biomass (IGCC CCS)",2080,0.01139868,270.442865887511
"Taiwan","Policy","electricity","biomass","biomass (IGCC CCS)",2085,0.0138347,252.600923880297
"Taiwan","Policy","electricity","biomass","biomass (IGCC CCS)",2090,0.01697497,219.518210021428
"Taiwan","Policy","electricity","biomass","biomass (IGCC CCS)",2095,0.0163136,138.696321235154
"Taiwan","Policy","electricity","biomass","biomass (IGCC CCS)",2100,0.0154923,93.7047498654215
"Taiwan","Policy","electricity","coal","coal (conv pul CCS)",1990,0,NA
"Taiwan","Policy","electricity","coal","coal (conv pul CCS)",2005,0,NA
"Taiwan","Policy","electricity","coal","coal (conv pul CCS)",2010,0,NA
"Taiwan","Policy","electricity","coal","coal (conv pul CCS)",2015,0,NA
"Taiwan","Policy","electricity","coal","coal (conv pul CCS)",2020,0,NA
"Taiwan","Policy","electricity","coal","coal (conv pul CCS)",2025,-4.30900000000003e-06,-1.13476260576678
"Taiwan","Policy","electricity","coal","coal (conv pul CCS)",2030,-3.48999999999966e-07,-0.054113560951401
"Taiwan","Policy","electricity","coal","coal (conv pul CCS)",2035,0.00583936,566.224497711582
"Taiwan","Policy","electricity","coal","coal (conv pul CCS)",2040,0.00860755,567.23780025701
"Taiwan","Policy","electricity","coal","coal (conv pul CCS)",2045,0.01066201,527.694272181501
"Taiwan","Policy","electricity","coal","coal (conv pul CCS)",2050,0.01630734,686.203007835183
"Taiwan","Policy","electricity","coal","coal (conv pul CCS)",2055,0.01982168,786.599574589669
"Taiwan","Policy","electricity","coal","coal (conv pul CCS)",2060,0.02358715,887.552444921074
"Taiwan","Policy","electricity","coal","coal (conv pul CCS)",2065,0.02312091,725.409674049114
"Taiwan","Policy","electricity","coal","coal (conv pul CCS)",2070,0.02363616,540.027965381417
"Taiwan","Policy","electricity","coal","coal (conv pul CCS)",2075,0.02458996,427.00984954781
"Taiwan","Policy","electricity","coal","coal (conv pul CCS)",2080,0.02617787,348.479305860067
"Taiwan","Policy","electricity","coal","coal (conv pul CCS)",2085,0.02744636,298.750849022101
"Taiwan","Policy","electricity","coal","coal (conv pul CCS)",2090,0.0295348,257.244887294011
"Taiwan","Policy","electricity","coal","coal (conv pul CCS)",2095,0.025736,175.851207029675
"Taiwan","Policy","electricity","coal","coal (conv pul CCS)",2100,0.0241217,136.599523181208
"Taiwan","Policy","electricity","coal","coal (IGCC CCS)",1990,0,NA
"Taiwan","Policy","electricity","coal","coal (IGCC CCS)",2005,0,NA
"Taiwan","Policy","electricity","coal","coal (IGCC CCS)",2010,0,NA
"Taiwan","Policy","electricity","coal","coal (IGCC CCS)",2015,0,NA
"Taiwan","Policy","electricity","coal","coal (IGCC CCS)",2020,0,NA
"Taiwan","Policy","electricity","coal","coal (IGCC CCS)",2025,-4.82000000000003e-06,-2.17834400661639
"Taiwan","Policy","electricity","coal","coal (IGCC CCS)",2030,-3.64399999999997e-06,-0.88893876226742
"Taiwan","Policy","electricity","coal","coal (IGCC CCS)",2035,0.005854729,793.193663369556
"Taiwan","Policy","electricity","coal","coal (IGCC CCS)",2040,0.01001398,804.58131799264
"Taiwan","Policy","electricity","coal","coal (IGCC CCS)",2045,0.01495755,790.338432273916
"Taiwan","Policy","electricity","coal","coal (IGCC CCS)",2050,0.02538262,1004.74294219168
"Taiwan","Policy","electricity","coal","coal (IGCC CCS)",2055,0.03369529,1097.84895787515
"Taiwan","Policy","electricity","coal","coal (IGCC CCS)",2060,0.04243346,1143.46930966278
"Taiwan","Policy","electricity","coal","coal (IGCC CCS)",2065,0.04229884,832.349572794213
"Taiwan","Policy","electricity","coal","coal (IGCC CCS)",2070,0.04400286,601.350490752104
"Taiwan","Policy","electricity","coal","coal (IGCC CCS)",2075,0.0464336,461.048722607806
"Taiwan","Policy","electricity","coal","coal (IGCC CCS)",2080,0.0498248,367.144404571546
"Taiwan","Policy","electricity","coal","coal (IGCC CCS)",2085,0.0527218,308.292985287582
"Taiwan","Policy","electricity","coal","coal (IGCC CCS)",2090,0.0565075,259.859556503904
"Taiwan","Policy","electricity","coal","coal (IGCC CCS)",2095,0.0511429,182.968180940047
"Taiwan","Policy","electricity","coal","coal (IGCC CCS)",2100,0.0482943,142.239939680791
"Taiwan","Policy","electricity","coal","coal (conv pul)",1990,0,0
"Taiwan","Policy","electricity","coal","coal (conv pul)",2005,0,0
"Taiwan","Policy","electricity","coal","coal (conv pul)",2010,0,0
"Taiwan","Policy","electricity","coal","coal (conv pul)",2015,0,0
"Taiwan","Policy","electricity","coal","coal (conv pul)",2020,0,0
"Taiwan","Policy","electricity","coal","coal (conv pul)",2025,0.000540000000000096,0.100191848836494
"Taiwan","Policy","electricity","coal","coal (conv pul)",2030,0.00210299999999997,0.373207168133106
"Taiwan","Policy","electricity","coal","coal (conv pul)",2035,-0.073619,-12.9430214506859
"Taiwan","Policy","electricity","coal","coal (conv pul)",2040,-0.187389,-33.6626139817629
"Taiwan","Policy","electricity","coal","coal (conv pul)",2045,-0.33079,-62.5727089240687
"Taiwan","Policy","electricity","coal","coal (conv pul)",2050,-0.4212994,-86.8882495488528
"Taiwan","Policy","electricity","coal","coal (conv pul)",2055,-0.4031253,-94.4259841376176
"Taiwan","Policy","electricity","coal","coal (conv pul)",2060,-0.3467365,-96.2672933886018
"Taiwan","Policy","electricity","coal","coal (conv pul)",2065,-0.2703235,-90.3623539636643
"Taiwan","Policy","electricity","coal","coal (conv pul)",2070,-0.1950603,-83.9236143977008
"Taiwan","Policy","electricity","coal","coal (conv pul)",2075,-0.1329225,-78.0235615923739
"Taiwan","Policy","electricity","coal","coal (conv pul)",2080,-0.0670701,-76.7159842839414
"Taiwan","Policy","electricity","coal","coal (conv pul)",2085,-0.0402247,-77.4016332876649
"Taiwan","Policy","electricity","coal","coal (conv pul)",2090,-0.0209169,-73.8218343138881
"Taiwan","Policy","electricity","coal","coal (conv pul)",2095,-0.00949632,-67.6973965610653
"Taiwan","Policy","electricity","coal","coal (conv pul)",2100,-0.00352557,-51.5283542823736
"Taiwan","Policy","electricity","coal","coal (IGCC)",1990,0,NA
"Taiwan","Policy","electricity","coal","coal (IGCC)",2005,0,NA
"Taiwan","Policy","electricity","coal","coal (IGCC)",2010,0,NA
"Taiwan","Policy","electricity","coal","coal (IGCC)",2015,0,NA
"Taiwan","Policy","electricity","coal","coal (IGCC)",2020,0,NA
"Taiwan","Policy","electricity","coal","coal (IGCC)",2025,-7.51000000000016e-05,-0.372143267725127
"Taiwan","Policy","electricity","coal","coal (IGCC)",2030,0.000295200000000002,0.824458948814847
"Taiwan","Policy","electricity","coal","coal (IGCC)",2035,-0.000577500000000002,-1.15676522373142
"Taiwan","Policy","electricity","coal","coal (IGCC)",2040,-0.00898060000000001,-14.3382417508729
"Taiwan","Policy","electricity","coal","coal (IGCC)",2045,-0.0291186,-39.4134797332965
"Taiwan","Policy","electricity","coal","coal (IGCC)",2050,-0.0615808,-74.5975503539037
